Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert,walkscore,ws_link
780702320,78,48.781961,1.993275,IME Plaine du Moulin,780708442,"Association pour l’insertion, l’éducation et les soins",60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,45,1978,60,https://www.walkscore.com/score/loc/lat=48.78196/lng=1.993275/
780808200,78,48.902605,2.090252,IME les Glycines,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,94,1966,85,https://www.walkscore.com/score/loc/lat=48.9026/lng=2.090252/
780820916,78,48.955833,1.716719,IME du Breuil,780825097,Association Delos APEI 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,118,1983,13,https://www.walkscore.com/score/loc/lat=48.95583/lng=1.716719/
780826228,78,48.751729,1.838116,IME les Tout Petits,910707769,Association Les tout petits,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,28,1992,17,https://www.walkscore.com/score/loc/lat=48.75173/lng=1.838116/
910017300,91,48.59682,2.256587,IME André Coudrier,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,2008,64,https://www.walkscore.com/score/loc/lat=48.59682/lng=2.256587/
910690031,91,48.69289,2.488068,IME La Cerisaie,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,68,N/D,69,https://www.walkscore.com/score/loc/lat=48.69289/lng=2.488068/
910690049,91,48.698453,2.509072,IME les Vallées,910808765,Association les Vallées,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,56,N/D,79,https://www.walkscore.com/score/loc/lat=48.69845/lng=2.509072/
910690056,91,48.600351,2.470963,IME le Val d’Essonne,940001019,Institut le Val Mandé,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,50,1964,77,https://www.walkscore.com/score/loc/lat=48.60035/lng=2.470963/
910690080,91,48.510325,2.23675,IME de Gillevoisin,910808781,Établissement Public National Antoine Koenigswarter,18,Établissement Social et Médico-Social National,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,98,1908,4,https://www.walkscore.com/score/loc/lat=48.51033/lng=2.23675/
910690106,91,48.653772,2.34246,IME Henri Dunant,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,45,1966,63,https://www.walkscore.com/score/loc/lat=48.65377/lng=2.34246/
