Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert
770690303,77,48.802641,2.635555,IME des Grands Champs,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,157,1978
770690352,77,48.974226,2.628943,IME l'Oasis,770016236,AEDE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,64,1979
770814762,77,48.545265,3.299762,IME les Grattons de Provins,770001071,EPMS du Provinois,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,76,1992
780000196,78,48.92151,2.020114,IME Emmanuel Marie,780804415,Handi Val de Seine association de gestion,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1994
780009569,78,48.94952,2.178491,IME le Chemin des Lauris,780824611,APAJH Comité des Yvelines,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,65,2004
780016812,78,48.770457,2.075382,IME Alphée,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,20,2002
780018602,78,48.947999,2.017864,IME Notre École,750063521,Association Autisme en Île-de-France,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,39,2003
780018735,78,49.001616,1.643792,IME Amalthée,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,32,2012
780020723,78,48.904022,2.045489,IME Agir et Vivre l'Autisme,750062234,Association Agir et Vivre l’Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,2010
780610010,78,48.832542,2.128499,IME le Bel Air,780708293,Sauvegarde enfant adolescent adulte 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,77,1971
780680104,78,48.770031,2.011366,IME La Rencontre,780825097,Association Delos APEI 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1970
780690012,78,48.982179,2.058665,IME le Manoir,780824611,APAJH Comité des Yvelines,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,42,1967
780690020,78,48.908534,2.175334,IME La Roseraie,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,50,1964
780690038,78,48.897344,2.156092,IME de Pédagogie Curative,30007801,Reconnaissances,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,96,1963
780690053,78,48.82071,1.98436,IME René Fontaine,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,36,1963
780690061,78,48.716917,1.890808,IME le Moulin,780021929,HESTIA,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,27,1965
780690087,78,48.634016,1.772758,IME le Castel,780021929,HESTIA,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,62,1967
780690095,78,48.774994,2.161443,IME les Metz,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,62,1964
780690137,78,48.82505,1.937144,IME Externat l'Escabelle,780024113,Centre Hospitalier de Plaisir,11,Établissement Public Départemental d'Hospitalisation,Public,5,ARS établissements médico-soc. non financés dotation globale,20,1966
780690145,78,48.931784,2.044023,IME ASOIMEEP Poissy,780009528,ASOIMEEP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,77,1961
780690152,78,48.803489,2.057932,IME Externat Saint Cyr L’École,780024113,Centre Hospitalier de Plaisir,11,Établissement Public Départemental d'Hospitalisation,Public,3,ARS établissements Publics de santé dotation globale,35,1975
780690210,78,48.809776,2.136362,IME le Rondo,750721334,Croix Rouge Française,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,54,1960
780690244,78,48.847262,2.114736,IME le Pré d'Orient,780708442,"Association pour l’insertion, l’éducation et les soins",60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1972
780690269,78,49.013515,2.116224,IME les Papillons Blancs,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,46,1994
780690293,78,48.997443,1.904992,IME Alfred Binet,780804415,Handi Val de Seine association de gestion,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,103,1972
780702320,78,48.781961,1.993275,IME Plaine du Moulin,780708442,"Association pour l’insertion, l’éducation et les soins",60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,45,1978
780808200,78,48.902605,2.090252,IME les Glycines,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,94,1966
780820916,78,48.955833,1.716719,IME du Breuil,780825097,Association Delos APEI 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,118,1983
780826228,78,48.751729,1.838116,IME les Tout Petits,910707769,Association Les tout petits,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,28,1992
910017300,91,48.59682,2.256587,IME André Coudrier,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,2008
910690031,91,48.69289,2.488068,IME La Cerisaie,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,68,N/D
910690049,91,48.698453,2.509072,IME les Vallées,910808765,Association les Vallées,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,56,N/D
910690056,91,48.600351,2.470963,IME le Val d’Essonne,940001019,Institut le Val Mandé,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,50,1964
910690080,91,48.510325,2.23675,IME de Gillevoisin,910808781,Établissement Public National Antoine Koenigswarter,18,Établissement Social et Médico-Social National,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,98,1908
910690106,91,48.653772,2.34246,IME Henri Dunant,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,45,1966
910690130,91,48.438047,2.354354,IME Léopold Bellan,750720609,Fondation Léopold Bellan,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,85,1967
910690148,91,48.674845,2.364643,IME Arc En Ciel,750806523,La maison maternelle,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,N/D
910690171,91,48.431731,2.160166,IME La Feuilleraie,910707645,Association AAPISE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1971
910690197,91,48.680902,2.41482,IME les Pampoux,910707777,Les Papillons blancs de l’Essonne,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,90,N/D
910690205,91,48.702226,2.353748,IME Page d’Écriture,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,N/D
910690213,91,48.677739,2.335658,IME Sillery,910808773,Fond franco-britannique de Sillery,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,72,1969
910701275,91,48.730079,2.247869,IME André Nouaille,910707660,Association Pupilles Enseignement Public,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1975
910701333,91,48.709594,2.245091,IME Roger Lecherbonnier,910707660,Association Pupilles Enseignement Public,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,70,1975
910707397,91,48.584525,2.230745,IME La Guillemaine,910707645,Association AAPISE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,61,1977
910805365,91,48.509328,2.459024,IME le Buisson,910808948,Association Altérité,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,42,1967
910814185,91,48.633946,2.336199,IME Notre École,590001681,GPT Association Partenaires d’action sociale,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,49,1991
920003910,92,48.775087,2.279026,IME Jeune Appédia,920718186,Papillons blancs de la Colline,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,16,1997
920012358,92,48.827864,2.178036,IME La Villa d'Avray,920718187,Papillons blancs de la Colline,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,17,2010
920015799,92,48.84425,2.245704,IME Solfège,930027347,UGECAM IDF,40,Régime Général de Sécurité Sociale,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,20,2014
920023439,92,48.840639,2.201899,IME Léonce Malecot Annexe du Parc,920718186,Papillons blancs de la Colline,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,26,2009
920025541,92,48.887468,2.196701,IME Au Fil de l'Autre,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,20,2001
920026168,92,48.863279,2.204561,IME Agir et Vivre l'Autisme Suresnes,750062234,Association Agir et Vivre l’Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,15,2010
920033594,92,48.78921,2.298708,IME Hors les Murs les Alizés,750721391,Fondation de l’Élan retrouvé,63,Fondation,Fondation,58,ARS dotation forfait ou prix de journée globalisé hors CPOM,13,2019
920690013,92,48.754508,2.297128,Association St Raphaël,920001153,Association pour la gestion du CPPS,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,70,1965
